Pressure,Activation
28.8772,19.7509,
29.7649,19.1979,
32.8504,18.2198,
34.1853,17.2414,
37.7151,15.9655,
37.7180,15.8379,
38.6086,15.1572,
42.1192,14.7324,
45.6289,14.3502,
48.7039,13.8402,
53.0859,13.5858,
60.9710,13.2471,
71.4810,12.9514,
80.2384,12.7405,
92.4980,12.4878,
102.567,12.3198,
113.952,12.0669,
123.583,11.8987,
134.529,11.6883,
144.599,11.5202,
154.232,11.2669,
164.741,11.0138,
172.624,10.7602,
182.699,10.3793,
189.269,10.1254,
