Pressure,Diameter
9.99054,106.324,
11.3226,108.447,
13.7959,112.959,
16.3654,116.543,
22.3624,123.580,
25.4090,126.635,
32.3609,131.951,
35.5039,133.946,
45.4103,139.356,
51.2530,142.019,
55.4445,143.972,
67.2586,147.884,
75.6428,150.552,
86.9495,153.579,
92.9206,155.005,
105.625,157.859,
114.392,159.467,
122.778,160.722,
126.589,161.790,
