Pressure,Diameter
10.3033,102.706,
11.3209,105,
13.4834,108.706,
16.5362,113.471,
19.9706,117.529,
24.5499,121.235,
29.5108,124.059,
33.8356,125.471,
38.2877,125.824,
42.9941,124.235,
48.0822,121.588,
53.6791,116.824,
55.9687,114.353,
60.1663,110.471,
61.8200,108.882,
64.6184,106.412,
67.9256,103.765,
74.7945,98.8235,
78.4834,96.7059,
82.5538,94.4118,
87.2603,92.2941,
93.1115,89.4706,
97.5636,87.8824,
105.704,84.8824,
111.301,83.2941,
116.771,81.8824,
123.386,80.2941,
127.965,79.5882,
129.491,79.4118,
