Pressure,Diameter
10.3033,105.353,
11.8297,108.176,
13.4834,111,
15.3914,114.353,
17.6810,117,
20.2250,120.176,
22.8963,122.294,
26.9667,125.471,
30.7828,127.765,
33.8356,128.824,
38.1605,130.235,
43.7573,130.765,
48.2094,129.882,
54.0607,127.588,
59.6575,124.059,
64.8728,119.824,
68.9432,116.824,
72.7593,113.824,
77.5930,110.647,
83.8258,106.941,
87.5147,105,
91.7123,103.235,
95.9100,100.765,
99.3444,99.8824,
103.796,97.9412,
109.521,95.8235,
114.736,94.2353,
121.223,92.2941,
125.930,91.2353,
129.237,90.1765,
