Pressure,Activation
9.62988,-0.0830583,
17.9430,0.00381770,
24.9433,0.0904143,
31.0701,0.0917179,
38.0713,0.135761,
44.1944,0.307278,
50.7541,0.521442,
56.8781,0.650406,
70.0014,0.908520,
81.8128,1.12380,
92.3122,1.29625,
101.936,1.46851,
114.185,1.68389,
124.685,1.85633,
133.435,1.94330,
145.249,2.07348,
158.813,2.20402,
167.564,2.24844,
175.002,2.33513,
180.253,2.37880,
187.252,2.50795,
